Dataset,Size,Time type,Time Cost
CW-AIOps,40000,Data Feature Collection Time,1.8964331150054927
CW-AIOps,40000,Insert Time,0.2021770477294922
CW-AIOps,50000,Data Feature Collection Time,2.3627036412556968
CW-AIOps,50000,Insert Time,0.2534782886505127
CW-AIOps,60000,Data Feature Collection Time,2.8561720053354898
CW-AIOps,60000,Insert Time,0.2473325729370117
CW-AIOps,70000,Data Feature Collection Time,3.304863452911377
CW-AIOps,70000,Insert Time,0.2718369960784912
CW-AIOps,80000,Data Feature Collection Time,3.746201992034912
CW-AIOps,80000,Insert Time,0.2956013679504394
CW-AIOps,90000,Data Feature Collection Time,4.225092967351277
CW-AIOps,90000,Insert Time,0.3154594898223877
CW-AIOps,100000,Data Feature Collection Time,4.695724089940389
CW-AIOps,100000,Insert Time,0.3304553031921386
Incident Event Log,10000,Data Feature Collection Time,0.0083868503570556
Incident Event Log,10000,Insert Time,0.1313564777374267
Incident Event Log,20000,Data Feature Collection Time,0.0250653425852457
Incident Event Log,20000,Insert Time,0.1475393772125244
Incident Event Log,30000,Data Feature Collection Time,0.0372410615285237
Incident Event Log,30000,Insert Time,0.1603600978851318
Incident Event Log,40000,Data Feature Collection Time,0.0493183930714925
Incident Event Log,40000,Insert Time,0.174680471420288
Incident Event Log,50000,Data Feature Collection Time,0.0623739560445149
Incident Event Log,50000,Insert Time,0.1703376770019531
Incident Event Log,60000,Data Feature Collection Time,0.0693836212158203
Incident Event Log,60000,Insert Time,0.2116930484771728
Incident Event Log,70000,Data Feature Collection Time,0.0800502300262451
Incident Event Log,70000,Insert Time,0.2023758888244629
Incident Event Log,80000,Data Feature Collection Time,0.0805718104044596
Incident Event Log,80000,Insert Time,0.2424943447113037
Incident Event Log,90000,Data Feature Collection Time,0.0977914333343505
Incident Event Log,90000,Insert Time,0.2151265144348144
Incident Event Log,100000,Data Feature Collection Time,0.0982016722361246
Incident Event Log,100000,Insert Time,0.2563295364379883
Incident Event Log,10000,Data Feature Collection Time,0.0147619247436523
Incident Event Log,10000,Insert Time,0.1284308433532714
Incident Event Log,20000,Data Feature Collection Time,0.0421926975250244
Incident Event Log,20000,Insert Time,0.146646499633789
Incident Event Log,30000,Data Feature Collection Time,0.0633668899536132
Incident Event Log,30000,Insert Time,0.1611168384552002
Incident Event Log,40000,Data Feature Collection Time,0.08157213528951
Incident Event Log,40000,Insert Time,0.1814417839050293
Incident Event Log,50000,Data Feature Collection Time,0.0951786835988362
Incident Event Log,50000,Insert Time,0.1678805351257324
Incident Event Log,60000,Data Feature Collection Time,0.0915954113006591
Incident Event Log,60000,Insert Time,0.1869428157806396
Incident Event Log,70000,Data Feature Collection Time,0.1014982064565022
Incident Event Log,70000,Insert Time,0.2056994438171386
Incident Event Log,80000,Data Feature Collection Time,0.1165440082550048
Incident Event Log,80000,Insert Time,0.2311019897460937
Incident Event Log,90000,Data Feature Collection Time,0.1364903450012207
Incident Event Log,90000,Insert Time,0.2274549007415771
Incident Event Log,100000,Data Feature Collection Time,0.1520516077677408
Incident Event Log,100000,Insert Time,0.2815895080566406
CW-AIOps,10000,Data Feature Collection Time,0.4803322156270345
CW-AIOps,10000,Insert Time,0.1728720664978027
CW-AIOps,20000,Data Feature Collection Time,0.9648090203603108
CW-AIOps,20000,Insert Time,0.1730349063873291
CW-AIOps,30000,Data Feature Collection Time,1.4194006125132244
CW-AIOps,30000,Insert Time,0.1915533542633056
CW-AIOps,40000,Data Feature Collection Time,1.8540078004201253
CW-AIOps,40000,Insert Time,0.2032797336578369
CW-AIOps,50000,Data Feature Collection Time,2.327465057373047
CW-AIOps,50000,Insert Time,0.222280740737915
CW-AIOps,60000,Data Feature Collection Time,2.795766830444336
CW-AIOps,60000,Insert Time,0.2414162158966064
CW-AIOps,70000,Data Feature Collection Time,3.281541426976522
CW-AIOps,70000,Insert Time,0.2764368057250976
CW-AIOps,80000,Data Feature Collection Time,3.748625278472901
CW-AIOps,80000,Insert Time,0.2992699146270752
CW-AIOps,90000,Data Feature Collection Time,4.21602479616801
CW-AIOps,90000,Insert Time,0.3370380401611328
CW-AIOps,100000,Data Feature Collection Time,4.659762382507324
CW-AIOps,100000,Insert Time,0.3779222965240478
CW-AIOps,10000,Data Feature Collection Time,0.519038995107015
CW-AIOps,10000,Insert Time,0.1325292587280273
CW-AIOps,20000,Data Feature Collection Time,1.0740954081217449
CW-AIOps,20000,Insert Time,0.1603283882141113
CW-AIOps,30000,Data Feature Collection Time,1.6040114561716716
CW-AIOps,30000,Insert Time,0.178830862045288
CW-AIOps,40000,Data Feature Collection Time,2.1522108713785806
CW-AIOps,40000,Insert Time,0.2011809349060058
CW-AIOps,50000,Data Feature Collection Time,2.66782816251119
CW-AIOps,50000,Insert Time,0.2289559841156005
CW-AIOps,60000,Data Feature Collection Time,3.198002258936564
CW-AIOps,60000,Insert Time,0.2562544345855713
CW-AIOps,70000,Data Feature Collection Time,3.7207780679066977
CW-AIOps,70000,Insert Time,0.2767388820648193
CW-AIOps,80000,Data Feature Collection Time,4.306015491485596
CW-AIOps,80000,Insert Time,0.3059332370758056
CW-AIOps,90000,Data Feature Collection Time,4.840213298797607
CW-AIOps,90000,Insert Time,0.3448741436004638
CW-AIOps,100000,Data Feature Collection Time,5.42167329788208
CW-AIOps,100000,Insert Time,0.3892738819122314
CW-AIOps,10000,Data Feature Collection Time,0.5300579071044922
CW-AIOps,10000,Insert Time,0.1391870975494384
CW-AIOps,20000,Data Feature Collection Time,1.0873719851175945
CW-AIOps,20000,Insert Time,0.1586339473724365
CW-AIOps,30000,Data Feature Collection Time,1.5726418495178225
CW-AIOps,30000,Insert Time,0.1886343955993652
CW-AIOps,40000,Data Feature Collection Time,2.064788659413656
CW-AIOps,40000,Insert Time,0.2410688400268554
CW-AIOps,50000,Data Feature Collection Time,2.574416319529216
CW-AIOps,50000,Insert Time,0.2324805259704589
CW-AIOps,60000,Data Feature Collection Time,3.0892582734425864
CW-AIOps,60000,Insert Time,0.2562456130981445
CW-AIOps,70000,Data Feature Collection Time,3.594819863637289
CW-AIOps,70000,Insert Time,0.2686617374420166
CW-AIOps,80000,Data Feature Collection Time,4.131805658340454
CW-AIOps,80000,Insert Time,0.3630812168121338
CW-AIOps,90000,Data Feature Collection Time,4.655310153961182
CW-AIOps,90000,Insert Time,0.3396890163421631
CW-AIOps,100000,Data Feature Collection Time,5.154953002929688
CW-AIOps,100000,Insert Time,0.4026951789855957
CW-AIOps,10000,Data Feature Collection Time,0.4600071907043457
CW-AIOps,10000,Insert Time,0.1416707038879394
CW-AIOps,20000,Data Feature Collection Time,0.9350466728210448
CW-AIOps,20000,Insert Time,0.1619651317596435
CW-AIOps,30000,Data Feature Collection Time,1.42578919728597
CW-AIOps,30000,Insert Time,0.1795480251312255
CW-AIOps,40000,Data Feature Collection Time,1.8820655345916748
CW-AIOps,40000,Insert Time,0.20371675491333
CW-AIOps,50000,Data Feature Collection Time,2.385912815729777
CW-AIOps,50000,Insert Time,0.2247681617736816
CW-AIOps,60000,Data Feature Collection Time,2.854853709538778
